ID,ra,dec
Sartori237488,144.10562500000000,5.058944444444440
Sartori240795,177.17029166666700,17.9425
Sartori245310,178.062625,6.062083333333330
Sartori245739,8.558125000000000,-8.977361111111110
Sartori24664,198.02612500000000,5.18325
Sartori247612,168.33550000000000,0.8415277777777780
Sartori247767,159.2399583333330,46.943861111111100
Sartori24892,157.43037500000000,20.43175
Sartori25147,167.59991666666700,60.86438888888890
Sartori256630,192.081,5.707166666666670
Sartori257429,180.06870833333300,27.333055555555600
Sartori25780,146.19391666666700,13.539888888888900
Sartori25946,345.7634166666670,-8.418416666666670
Sartori265562,354.00783333333300,-0.5331666666666670
Sartori266505,188.8494583333330,3.7599444444444400
Sartori26813,186.51516666666700,8.255277777777780
Sartori26925,181.46041666666700,15.912888888888900
Sartori272498,172.13054166666700,61.21544444444450
Sartori273004,162.63545833333300,15.635083333333300
Sartori278324,195.45012500000000,1.6218333333333300
Sartori27867,210.7964583333330,30.86652777777780
Sartori28192,118.81175000000000,53.745472222222200
Sartori282992,217.02295833333300,36.45288888888890
Sartori28437,213.36150000000000,2.41925
Sartori284918,30.215,-8.761944444444440
Sartori285950,126.33379166666700,8.456444444444440
Sartori286382,199.98837500000000,0.4316111111111110
Sartori28650,187.60979166666700,10.51661111111110
Sartori29421,162.1045,38.352833333333300
Sartori29439,140.01779166666700,-0.5024722222222220
Sartori29484,339.8805000000000,-0.6767222222222220
Sartori296262,177.96704166666700,1.1016944444444400
Sartori298133,135.19766666666700,57.715333333333300
Sartori303639,141.5392083333330,12.747166666666700
Sartori30515,169.44145833333300,25.55891666666670
Sartori306717,131.05925000000000,2.4392500000000000
Sartori30698,251.5650833333330,43.915083333333300
Sartori30891,176.59254166666700,49.88927777777780
Sartori309597,153.8599583333330,30.914388888888900
Sartori310250,222.73583333333300,48.624027777777800
Sartori310490,132.81520833333300,58.68194444444440
Sartori31951,345.44875000000000,-9.584611111111110
Sartori320814,202.31895833333300,17.005805555555600
Sartori325033,23.24391666666670,-8.893833333333330
Sartori32833,167.18658333333300,36.309305555555600
Sartori33190,165.44979166666700,9.897333333333330
Sartori332236,253.81200000000000,31.498416666666700
Sartori33249,138.65091666666700,18.26736111111110
Sartori336179,147.59716666666700,0.7081388888888890
Sartori337345,162.1629583333330,18.979888888888900
Sartori338999,5.254291666666670,0.8800277777777780
Sartori340982,189.51562500000000,46.30558333333330
Sartori345440,199.29537500000000,2.9388333333333300
Sartori35203,163.59020833333300,2.193472222222220
Sartori35452,176.41766666666700,-0.5708333333333330
Sartori35611,140.45600000000000,23.577416666666700
Sartori37026,191.13954166666700,31.084944444444400
Sartori37125,130.64379166666700,3.325194444444440
Sartori37135,225.16879166666700,11.9465
Sartori37334,117.78725000000000,22.740916666666700
Sartori37577,206.72920833333300,22.97083333333330
Sartori37767,202.7945,-1.950361111111110
